season,match_id,match_name,home_team,away_team,venue,city,country,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut,runningScore,runningOver,shortText,commentary,link
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,RCB,1,GJ Maxwell,Glenn Maxwell,15,18,33,1,0,83.33,False,False,"{'wickets': 5, 'runs': 112}",16.4,c Ferguson b Narine,"<B>there's the fourth!</b> Narine turning it on. Full on middle. Maxwell looks for the slog sweep. Sharp turn in, sliced in the air, and the ball is spiraling towards short third man. Ferguson under it",
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,RCB,1,AB de Villiers,AB de Villiers,11,9,9,1,0,122.22,False,False,"{'wickets': 4, 'runs': 102}",14.2, b Narine,"<B>another beauty!</b> Narine bowled Kohli. Narine bowled de Villiers. Big player has turned up on the big day. Its the flicker that he releases. Full on off. Slow in the air. de Villiers looks to defend, but there's a tiny gap between bat and pad. Turns in, goes through the space, and the bails have lit up once again!",
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,RCB,1,Shahbaz Ahmed,Shahbaz Ahmed,13,14,23,1,0,92.85,False,False,"{'wickets': 6, 'runs': 126}",18.6,c Shivam Mavi b Ferguson,"<strong>skies that to deep midwicket!</strong> A lowish full-toss on middle, and angling in. Shahbaz was standing outside leg, and went for the heave to the on side, but seemed to have got that from the bottom half of the bat. Mavi at the boundary remained unfazed by a team-mate of his running toward him from his right, and completed a calm take in the end",
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,RCB,1,DT Christian,Dan Christian,9,8,18,1,0,112.50,False,False,"{'wickets': 7, 'runs': 134}",19.4,run out (Ferguson/Shivam Mavi),"<b>run-out at the bowler's end!</B> Never run on a misfield they say, as Ferguson fumbles at square leg and the batters get involved in a mix-up in search of the second. But Christian was far too short when the throw came in after Harshal tried to scoop that full-toss wide of off, and was always ready to go for the second the moment he saw the misfield. There was a bit of a yes-no in the middle of the pitch, after which Harshal ran at the keeper's end, resulting in Christian falling short",
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,RCB,1,HV Patel,Harshal Patel,8,6,9,1,0,133.33,False,True,{},,not out,,
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,RCB,1,GHS Garton,George Garton,0,0,3,0,0,-,False,True,{},,not out,,
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,Shubman Gill,Shubman Gill,29,18,24,4,0,161.11,False,False,"{'wickets': 1, 'runs': 41}",5.2,c de Villiers b Patel,"<strong>sends that up milessss in the air, and de Villiers pouches it moving to his right from mid-on!</strong> Gill is foxed by the slower ball - an offcutter - which is full on middle, and looks to check his shot last moment. He makes room to try and send that into space, but ends up splicing it with his bottom hand off. That hung up in night sky for ages, before finally landing in de Villiers' hands to leave Kohli pumped",
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,VR Iyer,Venkatesh Iyer,26,30,51,0,1,86.66,False,False,"{'wickets': 3, 'runs': 79}",10.6,c &dagger;Bharat b Patel,"<strong>another short ball, and tickled behind to the keeper!</strong> That is 32 wickets for Harshal this season, and he ties with Bravo for most wickets in an IPL season. Iyer pulls at this short ball on middle - which is also a slower ball - but gets a touch of glove behind to the keeper, as Bharat dives to his right to grab at that",
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,RA Tripathi,Rahul Tripathi,6,5,10,1,0,120.00,False,False,"{'wickets': 2, 'runs': 53}",6.6,lbw b Chahal,"<strong>the googly now!</strong> Huge appeal for leg before, but not given. <B>Kohli reviews</B>. The ball strikes Tripathi's front pad as he looks to jab at that but is beaten. Hits him just above his knee after pitching on a good length outside off, and turning sharply into him. No inside edge is confirmed by UltraEdge. And replays show the ball would have taken the leg stump. So Tripathi departs, and Royal Challengers pinch one on the review",
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,N Rana,Nitish Rana,23,25,35,1,1,92.00,False,False,"{'wickets': 4, 'runs': 110}",14.2,c de Villiers b Chahal,"<B>taken at long on</b> and Chahal gets the wicket. Full on middle. Turning in. Rana goes for the slog sweep, but mistimed. In the air, but doesn't have the distance. Rana going for a poor-shot choice, giving RCB a sniff in",
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,SP Narine,Sunil Narine,26,15,31,0,3,173.33,False,False,"{'wickets': 5, 'runs': 125}",17.2, b Mohammed Siraj,"<strong>bowled him!</strong> Siraj leaps in the air, as he adds a touch of excitement to this. The off stump is pushed back, as Siraj bowls on a good length on off, and with a scrambled seam. Narine stands outside leg and prepares to slog that to the on side, but misses his heave. Some late drama here then?",
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,KD Karthik,Dinesh Karthik,10,12,20,1,0,83.33,False,False,"{'wickets': 6, 'runs': 126}",17.4,c &dagger;Bharat b Mohammed Siraj,"carried to Bharat? Yes, he thinks so. <b>Karthik has started walking back already though, but the umpire goes upstairs</B>. Good length ball outside off, and angling in. Karthik looks to half-cut-half-drive at that, but gets a faint outside edge off the bottom off the bat. The ball is dying to Bharat, who goes low to try and pouch that. Remember, there is no soft signal in IPL, so the call is to be entirely made by the third umpire. The TV umpire is not satisfied with the angles so far, and so we wait for more replays. Now he says he can see ""fingers underneath"", and Karthik has finally disappeared into the pavilion",
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,EJG Morgan,Eoin Morgan,5,7,16,0,0,71.42,True,True,{},,not out,,
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,Shakib Al Hasan,Shakib Al Hasan,9,6,10,1,0,150.00,False,True,{},,not out,,
2021.0,1254114,DC v CSK,DC,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,PP Shaw,Prithvi Shaw,60,34,49,7,3,176.47,False,False,"{'wickets': 4, 'runs': 80}",10.2,c du Plessis b Jadeja,"<strong>lofted elegantly, but finds long-off!</strong> Looked like he checked his shot late, not entirely lofting his arms to play that aerially, as Jadeja pitched that full on off, and Shaw presented the full face of the bat. A dominant innings comes to an end",
2021.0,1254114,DC v CSK,DC,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,S Dhawan,Shikhar Dhawan,7,7,17,1,0,100.00,False,False,"{'wickets': 1, 'runs': 36}",3.2,c &dagger;Dhoni b Hazlewood,"<B>the angle does the trick!</b> Full on middle, and angling across from Dhawan. He opens the bat's face to drive through the off side. Minimal footwork, ball moves away after pitching, and there's the edge. Four and out!",
2021.0,1254114,DC v CSK,DC,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,SS Iyer,Shreyas Iyer,1,8,12,0,0,12.50,False,False,"{'wickets': 2, 'runs': 50}",5.3,c Gaikwad b Hazlewood,"<B>in the air</b> and taken by cover point running square to take it. Full on middle, angling into leg. Iyer looks to clip it away behind square leg for runs, but the <B>leading edge</b> took the ball in the other direction. That's two quick wickets",
2021.0,1254114,DC v CSK,DC,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,AR Patel,Axar Patel,10,11,16,1,0,90.90,False,False,"{'wickets': 3, 'runs': 77}",9.4,c sub (MJ Santner) b Ali,<B>out or six? Taken by the sub</b> and Moeen wins this battle. Good length ball just outside off. Axar rocks back to flat-bat a shot over Moeen. But a bit of extra bounce and he ends up mistiming the shot. Santner (on the field for Hazlewood) makes no mistake running in from long on,
2021.0,1254114,DC v CSK,DC,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,RR Pant,Rishabh Pant,51,35,55,3,2,145.71,True,True,{},,not out,,
2021.0,1254114,DC v CSK,DC,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,SO Hetmyer,Shimron Hetmyer,37,24,44,3,1,154.16,False,False,"{'wickets': 5, 'runs': 163}",18.4,c Jadeja b Bravo,"<strong>taken at deep midwicket!</strong> This time Hetmyer finds the fielder right where he was positioned. He went for the pull to this short of a length ball just outside off, but the ball seemed to have bounced more than what Hetmyer expected, and the ball came off the higher side of the bat. A very good hand from Hetmyer comes to an end, although of course it would have been ideal for Capitals had he stayed till the end",
2021.0,1254114,DC v CSK,DC,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,TK Curran,Tom Curran,0,1,7,0,0,0.00,False,True,{},,not out,,
2021.0,1254114,DC v CSK,DC,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,CSK,2,RD Gaikwad,Ruturaj Gaikwad,70,50,93,5,2,140.00,False,False,"{'wickets': 5, 'runs': 149}",18.1,c Patel b Avesh Khan,"<strong>Axar takes it nice and low on deep midwicket!</strong> Gaikwad went deep in his crease to hammer that low full-toss on off, but ended up getting it from the inside half of the bat. Axar had to run in forward, and then dive falling on his elbow",
2021.0,1254114,DC v CSK,DC,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,CSK,2,F du Plessis,Faf du Plessis,1,2,4,0,0,50.00,False,False,"{'wickets': 1, 'runs': 3}",0.4, b Nortje,"<B>pace does the job!</b> Crackin' delivery. Full ball, seam up. Lands on middle, and skids right through. du Plessis tries to flick across the line but the ball has zipped through the bat-body gap.",
2021.0,1254114,DC v CSK,DC,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,CSK,2,RV Uthappa,Robin Uthappa,63,44,62,7,2,143.18,False,False,"{'wickets': 2, 'runs': 113}",13.3,c Iyer b Curran,"<strong>smartly completed by Iyer at long-on after a bit of muddle there!</strong> Iyer remains composed as he is about to fall over across the rope and with Axar running across in front of him from deep midwicket. Iyer ultimately popped the ball back in the air while being forced by the momentum to go beyond the boundary, and came back in to finish it off cleanly in the end. Anyway, Uthappa looked to pull this shortish ball outside off, but seemed to have got that from the higher side of the bat. A commanding knock comes to an end",
2021.0,1254114,DC v CSK,DC,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,CSK,2,SN Thakur,Shardul Thakur,0,1,5,0,0,0.00,False,False,"{'wickets': 3, 'runs': 117}",13.6,c Iyer b Curran,"<strong>goes slogging, but that is taken by Iyer at long-on!</strong> A first-ball duck for Thakur, and the experiment doesn't come off. That was a back-of-a-hand slower ball from Curran, pitching pretty full and outside off. Thakur simply looked to swing his bat a touch away from his body, but sent that sailing to the man on the rope. Iyer in action again, but this catch is a lot simpler. Another blow for Super Kings",
2021.0,1254114,DC v CSK,DC,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,CSK,2,AT Rayudu,Ambati Rayudu,1,3,5,0,0,33.33,False,False,"{'wickets': 4, 'runs': 119}",14.4,run out (Iyer/Rabada),"<b>Iyer fires a throw to Rabada at the bowler's end, and Capitals now get Rayudu, who is run-out</b>. The bat was well short of the crease as Rabada clipped the bails, collecting the ball very close to the stumps, with the ball bouncing high after pitching just before him. It was a slower ball on a short of a length on off, and he pulled that over midwicket. Iyer at long-on rushed to his right, and launched that throw bang to the bowler. Some late drama here",
2021.0,1254114,DC v CSK,DC,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,CSK,2,MM Ali,Moeen Ali,16,12,27,2,0,133.33,False,False,"{'wickets': 6, 'runs': 160}",19.1,c Rabada b Curran,"<strong>pulls, but finds deep square leg!</strong> Another blow for Super Kings here. This was bowled short and on off, and Moeen seemed to have been beaten by the lack of pace, ballooning the ball right where Rabada was waiting. That is a wicket, and of course a dot ball to start the final over",
2021.0,1254114,DC v CSK,DC,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,CSK,2,MS Dhoni,MS Dhoni,18,6,11,3,1,300.00,True,True,{},,not out,,
2021.0,1254114,DC v CSK,DC,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,CSK,2,RA Jadeja,Ravindra Jadeja,0,0,5,0,0,-,False,True,{},,not out,,
2021.0,1254101,RCB v DC,RCB,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,PP Shaw,Prithvi Shaw,48,31,55,4,2,154.83,False,False,"{'wickets': 2, 'runs': 101}",11.2,c Garton b Chahal,"got him, Shaw falls two short of his fifty. A bit of loop here, brave bowling from Chahal, and Shaw was looking to hit over extra-cover. But the ball dips on him a little, and then turns, and he ends up slicing it squarer than intended, to the man at sweeper cover, who takes the ball on the third attempt while falling forward. It slipped out of his hands, but it hit his thighs rather than fall to the floor, and he managed to hold on thereafter. George Garton the fielder",
2021.0,1254101,RCB v DC,RCB,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,S Dhawan,Shikhar Dhawan,43,35,47,3,2,122.85,False,False,"{'wickets': 1, 'runs': 88}",10.1,c Christian b Patel,"slower ball, and that's the first wicket for RCB. Looks to make a bit of room, and Harshal follows him with his angle from around the wicket. Lots of revs on this offcutter, but it doesn't actually turn, just beats Dhawan for lack of pace. Looks to hit down the ground, and ends up spooning it high to mid-off",
2021.0,1254101,RCB v DC,RCB,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,RR Pant,Rishabh Pant,10,8,15,1,0,125.00,True,False,"{'wickets': 3, 'runs': 108}",12.4,c &dagger;Bharat b Christian,"extra bounce, and that gets Christian a big wicket. Back of a length, slanting across Pant, and he makes room to try and slap it away through point, but the ball rises and grabs his top edge through to the keeper",
2021.0,1254101,RCB v DC,RCB,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,SS Iyer,Shreyas Iyer,18,18,33,1,0,100.00,False,False,"{'wickets': 4, 'runs': 143}",17.4,c Christian b Mohammed Siraj,"<strong>holes out to long-on!</strong> Looks to loft that full-toss outside off, as Siraj bowls with a scrambled seam. Iyer is across off again to try and lift that, but gets that off the bottom of the bat to find the long-on fielder, who doesn't have to move a step",
2021.0,1254101,RCB v DC,RCB,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,SO Hetmyer,Shimron Hetmyer,29,22,41,2,2,131.81,False,False,"{'wickets': 5, 'runs': 164}",19.6,c Kohli b Mohammed Siraj,"<strong>finds deep midwicket!</strong> Kohli takes it a little late to his left though after he ran in a bit too much to his right. Siraj bowls a full-toss on middle, as Hetmyer looks to slog that, but gets that off the higher side of the bat",
2021.0,1254101,RCB v DC,RCB,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,DC,1,RV Patel,Ripal Patel,7,7,17,1,0,100.00,False,True,{},,not out,,
2021.0,1254101,RCB v DC,RCB,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,RCB,2,V Kohli,Virat Kohli,4,8,12,0,0,50.00,True,False,"{'wickets': 2, 'runs': 6}",2.1,c Rabada b Nortje,"<strong>ends up slicing to mid-on, who moves to his right to gobble that!</strong> Looks to launch the full delivery on middle at 146kph, as the bat turns in his hands while looking to go over the in-field. Another blow by Nortje, as Kohli seemed to have been beaten by pace, with the ball coming off the bottom of his bat",
2021.0,1254101,RCB v DC,RCB,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,RCB,2,D Padikkal,Devdutt Padikkal,0,1,4,0,0,0.00,False,False,"{'wickets': 1, 'runs': 3}",0.5,c Ashwin b Nortje,"<strong>ramped right to third man!</strong> It is a short delivery on middle and off, which is angling away a touch. Padikkal lifts his bat very late - almost at the last moment before the ball would have left him - and ends up fending it to Ashwin, who takes it exactly where he is standing. Golden duck for Padikkal",
2021.0,1254101,RCB v DC,RCB,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,RCB,2,KS Bharat,Srikar Bharat,78,52,88,3,4,150.00,False,True,{},,not out,,
2021.0,1254101,RCB v DC,RCB,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,RCB,2,AB de Villiers,AB de Villiers,26,26,26,2,1,100.00,False,False,"{'wickets': 3, 'runs': 55}",9.3,c Iyer b AR Patel,"<strong>caught at deep square leg!</strong> Axar pitches it short on middle and leg, and the ball is quicker as well as coming on with the arm. de Villiers pulls, but sends that sailing to the man placed in the deep",
2021.0,1254101,RCB v DC,RCB,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,RCB,2,GJ Maxwell,Glenn Maxwell,51,33,54,8,0,154.54,False,True,{},,not out,,
2021.0,1254088,SRH v MI,SRH,MI,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,RG Sharma,Rohit Sharma,18,13,27,3,0,138.46,True,False,"{'wickets': 1, 'runs': 80}",5.3,c Mohammad Nabi b Rashid Khan,"good length, outside off stump. Rohit looks to play a paddle over square leg but the ball takes a top edge. In the air, and Nabi runs back from square leg to take a tough catch. Rashid breaks this blazing partnership",
2021.0,1254088,SRH v MI,SRH,MI,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,Ishan Kishan,Ishan Kishan,84,32,50,11,4,262.50,False,False,"{'wickets': 3, 'runs': 124}",9.1,c &dagger;Saha b Umran Malik,"<B>Kishan will be disappointed!</b> Malik goes short and wide from around the stumps. Kishan looks to scythe a cut over point, but it's taken an edge into the hands of Wriddhiman Saha. But what a top knock: Kishan has given Mumbai fans hope",
2021.0,1254088,SRH v MI,SRH,MI,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,HH Pandya,Hardik Pandya,10,8,17,0,1,125.00,False,False,"{'wickets': 2, 'runs': 113}",8.3,c Roy b Holder,"<B>holes out</b> at long on. In the slot, but Hardik can't get the bat through the shot as well as he would've liked. Mistimed, and Roy in the deep gets under it",
2021.0,1254088,SRH v MI,SRH,MI,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,KA Pollard,Kieron Pollard,13,12,28,1,0,108.33,False,False,"{'wickets': 4, 'runs': 151}",12.5,c Roy b Abhishek Sharma,"full just outside off. And what <B>amazing field placement!</b> Full just outside off. Pollard goes <B>straight as an arrow</b> down the ground, but Pandey has kept a fielder there for the shot. Roy in front of the sightscreen fumbles and recovers to remove Pollard. Dhoni did that once against Pollard inside the circle. This was on the boundary. Brownie points to the captain!",
2021.0,1254088,SRH v MI,SRH,MI,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,SA Yadav,Suryakumar Yadav,82,40,65,13,3,205.00,False,False,"{'wickets': 9, 'runs': 230}",19.4,c Mohammad Nabi b Holder,"<b>fifth catch for Nabi - first time in IPL that someone has taken five!</b> Slower ball, back of the hand, full outside off. Surya swings leg side, and mistimed to the man in the deep. Top innings from SKY, most probably his last before the T20 World Cup gets underway. Applause from the dugout and fans as he walks out with the bat raised high",
2021.0,1254088,SRH v MI,SRH,MI,"Sheikh Zayed Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,MI,1,JDS Neesham,James Neesham,0,1,2,0,0,0.00,False,False,"{'wickets': 5, 'runs': 151}",12.6,c Mohammad Nabi b Abhishek Sharma,<B>leading edge</b> to cover! Sharma comes over the stumps. Length ball outside off. Neesham backs away to make room. Tries to close the bat's face for a flick. Pops up to Nabi at cover instead. <B>On a hat-trick!</b>,
